Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_deg,boom_to_arm_deg,arm_to_bucket_deg,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
71,-0.215412,-0.292642,0.284298,-12.3422,-16.7672,16.2891,0.0118506,0.02,-0.0122997,7.1
72,-0.214227,-0.290642,0.283068,-12.2743,-16.6526,16.2186,0.0118506,0.02,-0.0122997,7.2
73,-0.213042,-0.288642,0.281838,-12.2064,-16.538,16.1481,0.0118506,0.02,-0.0122997,7.3
74,-0.211857,-0.286642,0.280608,-12.1385,-16.4234,16.0777,0.0118506,0.02,-0.0122997,7.4
75,-0.210672,-0.284642,0.279378,-12.0706,-16.3088,16.0072,0.0118506,0.02,-0.0122997,7.5
76,-0.209487,-0.282642,0.278148,-12.0027,-16.1942,15.9367,0.0118506,0.02,-0.0122997,7.6
77,-0.208302,-0.280642,0.276918,-11.9348,-16.0796,15.8662,0.0118506,0.02,-0.0122997,7.7
78,-0.207117,-0.278642,0.275688,-11.8669,-15.965,15.7958,0.0118506,0.02,-0.0122997,7.8
79,-0.205932,-0.276642,0.274458,-11.799,-15.8504,15.7253,0.0118506,0.02,-0.0122997,7.9
80,-0.204747,-0.274642,0.273228,-11.7311,-15.7358,15.6548,0.0118506,0.02,-0.0122997,8
81,-0.203562,-0.272642,0.271998,-11.6632,-15.6212,15.5844,0.0118506,0.02,-0.0122997,8.1
82,-0.202377,-0.270642,0.270768,-11.5953,-15.5066,15.5139,0.0118506,0.02,-0.0122997,8.2
83,-0.201192,-0.268642,0.269538,-11.5274,-15.3921,15.4434,0.0118506,0.02,-0.0122997,8.3
84,-0.200006,-0.266642,0.268308,-11.4595,-15.2775,15.3729,0.0118506,0.02,-0.0122997,8.4
85,-0.198821,-0.264642,0.267078,-11.3916,-15.1629,15.3025,0.0118506,0.02,-0.0122997,8.5
86,-0.197636,-0.262642,0.265848,-11.3237,-15.0483,15.232,0.0118506,0.02,-0.0122997,8.6
87,-0.196451,-0.260642,0.264618,-11.2558,-14.9337,15.1615,0.0118506,0.02,-0.0122997,8.7
88,-0.195266,-0.258642,0.263388,-11.1879,-14.8191,15.091,0.0118506,0.02,-0.0122997,8.8
89,-0.194081,-0.256642,0.262159,-11.12,-14.7045,15.0206,0.0118506,0.02,-0.0122997,8.9
90,-0.192896,-0.254642,0.260929,-11.0521,-14.5899,14.9501,0.0118506,0.02,-0.0122997,9
91,-0.191711,-0.252642,0.259699,-10.9842,-14.4753,14.8796,0.0118506,0.02,-0.0122997,9.1
92,-0.190526,-0.250642,0.258469,-10.9163,-14.3607,14.8092,0.0118506,0.02,-0.0122997,9.2
93,-0.189341,-0.248642,0.257239,-10.8484,-14.2461,14.7387,0.0118506,0.02,-0.0122997,9.3
94,-0.188156,-0.246642,0.256009,-10.7805,-14.1315,14.6682,0.0118506,0.02,-0.0122997,9.4
95,-0.186971,-0.244642,0.254779,-10.7126,-14.017,14.5977,0.0118506,0.02,-0.0122997,9.5
96,-0.185786,-0.242642,0.253549,-10.6447,-13.9024,14.5273,0.0118506,0.02,-0.0122997,9.6
97,-0.184601,-0.240642,0.252319,-10.5768,-13.7878,14.4568,0.0118506,0.02,-0.0122997,9.7
98,-0.183416,-0.238642,0.251089,-10.5089,-13.6732,14.3863,0.0118506,0.02,-0.0122997,9.8
99,-0.182231,-0.236642,0.249859,-10.441,-13.5586,14.3159,0.0118506,0.02,-0.0122997,9.9
100,-0.181045,-0.234642,0.248629,-10.3731,-13.444,14.2454,0.0118506,0.02,-0.0122997,10
101,-0.17986,-0.232642,0.247399,-10.3052,-13.3294,14.1749,0.0118506,0.02,-0.0122997,10.1
102,-0.178675,-0.230642,0.246169,-10.2373,-13.2148,14.1044,0.0118506,0.02,-0.0122997,10.2
103,-0.17749,-0.228642,0.244939,-10.1694,-13.1002,14.034,0.0118506,0.02,-0.0122997,10.3
104,-0.176305,-0.226642,0.243709,-10.1015,-12.9856,13.9635,0.0118506,0.02,-0.0122997,10.4
105,-0.17512,-0.224642,0.242479,-10.0336,-12.871,13.893,0.0118506,0.02,-0.0122997,10.5
106,-0.173935,-0.222642,0.241249,-9.96575,-12.7564,13.8225,0.0118506,0.02,-0.0122997,10.6
107,-0.17275,-0.220642,0.240019,-9.89785,-12.6419,13.7521,0.0118506,0.02,-0.0122997,10.7
108,-0.171565,-0.218642,0.238789,-9.82995,-12.5273,13.6816,0.0118506,0.02,-0.0122997,10.8
109,-0.17038,-0.216642,0.237559,-9.76205,-12.4127,13.6111,0.0118506,0.02,-0.0122997,10.9
110,-0.169195,-0.214642,0.236329,-9.69415,-12.2981,13.5407,0.0118506,0.02,-0.0122997,11
111,-0.16801,-0.212642,0.235099,-9.62625,-12.1835,13.4702,0.0118506,0.02,-0.0122997,11.1
112,-0.166825,-0.210642,0.233869,-9.55835,-12.0689,13.3997,0.0118506,0.02,-0.0122997,11.2
113,-0.16564,-0.208642,0.232639,-9.49046,-11.9543,13.3292,0.0118506,0.02,-0.0122997,11.3
114,-0.164455,-0.206642,0.231409,-9.42256,-11.8397,13.2588,0.0118506,0.02,-0.0122997,11.4
115,-0.16327,-0.204642,0.230179,-9.35466,-11.7251,13.1883,0.0118506,0.02,-0.0122997,11.5
116,-0.162085,-0.202642,0.228949,-9.28676,-11.6105,13.1178,0.0118506,0.02,-0.0122997,11.6
117,-0.160899,-0.200642,0.227719,-9.21886,-11.4959,13.0474,0.0118506,0.02,-0.0122997,11.7
118,-0.159714,-0.198642,0.226489,-9.15096,-11.3813,12.9769,0.0118506,0.02,-0.0122997,11.8
119,-0.158529,-0.196642,0.225259,-9.08306,-11.2668,12.9064,0.0118506,0.02,-0.0122997,11.9
120,-0.157344,-0.194642,0.224029,-9.01516,-11.1522,12.8359,0.0118506,0.02,-0.0122997,12
121,-0.156159,-0.192642,0.222799,-8.94726,-11.0376,12.7655,0.0118506,0.02,-0.0122997,12.1
122,-0.154974,-0.190642,0.221569,-8.87936,-10.923,12.695,0.0118506,0.02,-0.0122997,12.2
123,-0.153789,-0.188642,0.220339,-8.81147,-10.8084,12.6245,0.0118506,0.02,-0.0122997,12.3
124,-0.152604,-0.186642,0.21911,-8.74357,-10.6938,12.554,0.0118506,0.02,-0.0122997,12.4
125,-0.151419,-0.184642,0.21788,-8.67567,-10.5792,12.4836,0.0118506,0.02,-0.0122997,12.5
126,-0.150234,-0.182642,0.21665,-8.60777,-10.4646,12.4131,0.0118506,0.02,-0.0122997,12.6
127,-0.149049,-0.180642,0.21542,-8.53987,-10.35,12.3426,0.0118506,0.02,-0.0122997,12.7
128,-0.147864,-0.178642,0.21419,-8.47197,-10.2354,12.2722,0.0118506,0.02,-0.0122997,12.8
129,-0.146679,-0.176642,0.21296,-8.40407,-10.1208,12.2017,0.0118506,0.02,-0.0122997,12.9
130,-0.145494,-0.174642,0.21173,-8.33617,-10.0062,12.1312,0.0118506,0.02,-0.0122997,13
131,-0.144309,-0.172642,0.2105,-8.26827,-9.89166,12.0607,0.0118506,0.02,-0.0122997,13.1
132,-0.143124,-0.170642,0.20927,-8.20038,-9.77707,11.9903,0.0118506,0.02,-0.0122997,13.2
133,-0.141938,-0.168642,0.20804,-8.13248,-9.66247,11.9198,0.0118506,0.02,-0.0122997,13.3
134,-0.140753,-0.166642,0.20681,-8.06458,-9.54788,11.8493,0.0118506,0.02,-0.0122997,13.4
