Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
171,0.0932258,-0.32215,0.0808598,0.00261304,0.00276204,-0.04,17.1
172,0.0934871,-0.321874,0.0768598,0.00261304,0.00276204,-0.04,17.2
173,0.0937484,-0.321598,0.0728598,0.00261304,0.00276204,-0.04,17.3
174,0.0940097,-0.321322,0.0688598,0.00261304,0.00276204,-0.04,17.4
175,0.094271,-0.321045,0.0648598,0.00261304,0.00276204,-0.04,17.5
176,0.0945323,-0.320769,0.0608598,0.00261304,0.00276204,-0.04,17.6
177,0.0947936,-0.320493,0.0568598,0.00261304,0.00276204,-0.04,17.7
178,0.0950549,-0.320217,0.0528598,0.00261304,0.00276204,-0.04,17.8
179,0.0953162,-0.319941,0.0488598,0.00261304,0.00276204,-0.04,17.9
180,0.0955775,-0.319664,0.0448598,0.00261304,0.00276204,-0.04,18
181,0.0958388,-0.319388,0.0408598,0.00261304,0.00276204,-0.04,18.1
182,0.0961001,-0.319112,0.0368598,0.00261304,0.00276204,-0.04,18.2
183,0.0963614,-0.318836,0.0328598,0.00261304,0.00276204,-0.04,18.3
184,0.0966227,-0.31856,0.0288598,0.00261304,0.00276204,-0.04,18.4
185,0.096884,-0.318283,0.0248598,0.00261304,0.00276204,-0.04,18.5
186,0.0971453,-0.318007,0.0208598,0.00261304,0.00276204,-0.04,18.6
187,0.0974066,-0.317731,0.0168598,0.00261304,0.00276204,-0.04,18.7
188,0.097668,-0.317455,0.0128598,0.00261304,0.00276204,-0.04,18.8
189,0.0979293,-0.317179,0.00885981,0.00261304,0.00276204,-0.04,18.9
190,0.0981906,-0.316902,0.00485981,0.00261304,0.00276204,-0.04,19
191,0.0984519,-0.316626,0.000859807,0.00261304,0.00276204,-0.04,19.1
192,0.0987132,-0.31635,-0.00314019,0.00261304,0.00276204,-0.04,19.2
193,0.0989745,-0.316074,-0.00714019,0.00261304,0.00276204,-0.04,19.3
194,0.0992358,-0.315798,-0.0111402,0.00261304,0.00276204,-0.04,19.4
195,0.0994971,-0.315521,-0.0151402,0.00261304,0.00276204,-0.04,19.5
196,0.0997584,-0.315245,-0.0191402,0.00261304,0.00276204,-0.04,19.6
197,0.10002,-0.314969,-0.0231402,0.00261304,0.00276204,-0.04,19.7
198,0.100281,-0.314693,-0.0271402,0.00261304,0.00276204,-0.04,19.8
199,0.100542,-0.314416,-0.0311402,0.00261304,0.00276204,-0.04,19.9
200,0.100804,-0.31414,-0.0351402,0.00261304,0.00276204,-0.04,20
201,0.101065,-0.313864,-0.0391402,0.00261304,0.00276204,-0.04,20.1
